NEW,COST,BD,BA,AREA,ADR,STATE,NAME,URL
Yes,"$240,000",3bd,2ba,"1,552 sqft",210 Deershadow Rd,"Maineville, OH",KELLER WILLIAMS ASSOC. PARTNER,https://www.trulia.com/p/oh/maineville/210-deershadow-rd-maineville-oh-45039--2046699900
Yes,"$279,900",3bd,4ba,"1,838 sqft",213 Heffron Cir,"Maineville, OH",EXP REALTY,https://www.trulia.com/p/oh/maineville/213-heffron-cir-maineville-oh-45039--2046699913
Yes,"$290,000",4bd,3ba,"1,850 sqft",177 Huntington Dr,"Hamilton Twp, OH",PLUM TREE REALTY,https://www.trulia.com/p/oh/hamilton-twp/177-huntington-dr-hamilton-twp-oh-45039--2046699789
No,"$257,000",3bd,3ba,"2,023 sqft",8425 Skiff Ln,"Maineville, OH",CONTRAST REAL ESTATE INC.,https://www.trulia.com/p/oh/maineville/8425-skiff-ln-maineville-oh-45039--2046705936
No,"$409,000",4bd,3ba,"2,612 sqft",1585 Eagle Blvd,"Maineville, OH",KELLER WILLIAMS PINNACLE GROUP,https://www.trulia.com/p/oh/maineville/1585-eagle-blvd-maineville-oh-45039--2046699571
Yes,NEW,"$695,000",5bd,4ba,7501 Chagrin Pl,"Hamilton Twp, OH",KELLER WILLIAMS PINNACLE GROUP,https://www.trulia.com/p/oh/hamilton-twp/7501-chagrin-pl-hamilton-twp-oh-45039--2448390551
Yes,"$219,900",3bd,1ba,"1,072 sqft",8600 S State Route 48,"Maineville, OH",COLDWELL BANKER HERITAGE,https://www.trulia.com/p/oh/maineville/8600-s-state-route-48-maineville-oh-45039--2097710153
No,NEW CONSTRUCTION,"$291,900+",3bd,3ba,"1,842 sqft",Eagles Pointe at Providence,"Maineville, OH",https://www.trulia.com/builder-community/Eagles-Pointe-At-Providence-6000230799/new-home/Plan-Wesley/4073567772
No,NEW CONSTRUCTION,"$292,400+",4bd,2ba,"2,817 sqft",Eagles Pointe at Providence,"Maineville, OH",https://www.trulia.com/builder-community/Eagles-Pointe-At-Providence-6000230799/new-home/Plan-Redwood/9077357449
No,NEW CONSTRUCTION,"$321,900+",4bd,3ba,"2,794 sqft",Eagles Pointe at Providence,"Maineville, OH",https://www.trulia.com/builder-community/Eagles-Pointe-At-Providence-6000230799/new-home/Plan-Jensen/9077131225
